# mapchip,name,move,transparent
# 元々alphaチャネルを持ったpngの場合，transparent=0
160,wood-wall,0,0
161,wall-r,0,0
162,burn-cliff-ul,1,0
163,burn-cliff-uc,1,0
164,burn-cliff-ur,1,0
165,burn-cliff-dl,0,0
166,burn-cliff-dr,0,0
167,grass-sand-1,1,0
168,grass-sand-2,1,0
169,grass-sand-3,1,0
170,grass-sand-4,1,0
171,grass-sand-5,1,0
172,grass-sand-6,1,0
173,grass-sand-7,1,0
174,grass-sand-8,1,0
175,sand,1,0
176,sand-water-1,1,0
177,sand-water-2,1,0
178,sand-water-3,1,0
179,sand-water-4,1,0
180,sand-water-5,1,0
181,sand-water-6,1,0
182,sand-water-7,1,0
183,sand-water-8,1,0
184,map00-165,0,0
185,map00-192,0,0
186,map00-193,0,0
187,map00-194,0,0
188,map00-205,0,0
189,map00-222,0,0
190,map00-223,0,0
191,map00-224,0,0
192,map00-252,0,0
193,map00-253,0,0
194,map00-254,0,0
195,map00-268,0,1
196,map00-269,0,1
197,map00-282,0,1
198,map00-283,0,1
199,map00-284,0,1
200,map00-297,0,0
201,map00-351,0,1
202,map00-352,0,1
203,map00-353,0,1
204,map00-354,0,1
205,map00-355,0,1
206,map00-356,0,1
207,map00-360,0,0
208,map00-362,0,0
209,map00-380,0,1
210,map00-381,0,1
211,map00-382,0,1
212,map00-383,0,1
213,map00-384,0,1
214,map00-385,0,1
215,map00-386,0,1
216,map00-390,0,0
217,map00-391,0,0
218,map00-392,0,0
219,map00-410,0,1
220,map00-411,0,1
221,map00-412,0,1
222,map00-413,0,1
223,map00-414,0,1
224,map00-415,0,1
225,map00-416,0,1
226,map00-420,0,0
227,map00-421,0,0
228,map00-422,0,0
229,map00-450,0,0
230,map00-451,0,0
231,map00-452,0,0
232,cavewater-1,0,0
233,cavewater-2,0,0
234,cavewater-3,0,0
235,cavewater-4,0,0
236,cavewater-5,0,0
237,cavewater-6,0,0
238,cavewater-7,0,0
239,cavewater-8,0,0
240,cavewater-9,0,0
241,fence-dl,0,1
242,fence-d,0,1
243,fence-dr,0,1
244,fence-l,0,1
245,fence-r,0,1
246,fence-ul,0,1
247,fence-u,0,1
248,fence-ur,0,1
249,sky,1,0
250,num0,0,1
251,num1,0,1
252,num2,0,1
253,num3,0,1
254,mac,0,1
255,onigiri,0,1
256,clock1,0,1
257,clock2,0,1
258,portion1,1,1
259,portion2,1,1
260,coffee,0,1
261,meat,0,1
262,carrot,0,1
263,dish,0,1
264,portion3,0,1
265,whiteboard1,0,1
266,whiteboard2,0,1
267,apple,0,1
268,bread,0,1
269,arduino,0,1
270,raspberrypi,0,1
271,num5,0,1
272,rainbow1,0,1
273,rainbow2,0,1
274,stone-wall1,0,1
275,stone-wall2,0,1
276,stone-wall3,0,1
277,stone-wall4,0,1
278,stone-wall5,0,1
279,stone-wall6,0,1
280,stone-roof1,0,1
281,stone-roof2,0,1
282,stone-roof3,0,1
283,stone-roof4,0,1
284,stone-roof5,0,1
285,stone-roof6,0,1
286,stone-roof7,0,1
287,stone-roof8,0,1
288,stone-roof9,0,1
289,treeg-1,0,1
290,treeg-2,0,1
291,tree-large-5,0,1
292,tree-large-6,0,1
293,tree-large-7,0,1
294,tree-large-8,0,1
295,ginko-large-1,0,1
296,ginko-large-2,0,1
297,ginko-large-3,0,1
298,ginko-large-4,0,1
299,ginko-large-5,0,1
300,ginko-large-6,0,1
301,ginko-large-7,0,1
302,ginko-large-8,0,1
303,panel-K,0,1
304,panel-I,0,1
305,panel-T,0,1
306,railway,1,1
307,panel-shi,0,1
308,panel-jou,0,1
309,stone-roof10,1,1
310,stone-roof11,1,1
311,stone-roof12,1,1
312,stone-roof13,1,1
313,stone-roof14,1,1
314,stone-roof15,1,1
315,stone-roof16,1,1
316,stone-roof17,1,1
317,stone-roof18,1,1
318,panel-katsura,0,1
319,panel-ibara,0,1
320,panel-ki,0,1
321,panel-juu,0,1
322,panel-sou,0,1
323,house-roof-M,0,1
324,house-roof-N,0,1
325,house-roof-O,0,1
326,house-roof-P,0,1
327,house-roof-Q,0,1
328,house-roof-R,0,1
329,house-roof-S,0,1
330,house-roof-T,0,1
331,house-roof-U,0,1
332,house-roof-V,0,1
333,house-roof-W,0,1
334,house-roof-X,0,1
335,house-roof-Y,0,1
336,house-roof-Z,0,1
337,house-roof-z0,0,1
338,house-roof-z1,0,1
339,house-roof-z2,0,1
340,house-roof-z3,0,1
341,house-roof-z4,0,1
342,brick-wall1,0,0
343,brick-wall2,0,0
344,brick-wall3,0,0
345,brick-wall4,0,0
346,brick-wall5,0,0
347,brick-wall6,0,0
348,brick-ent-u,1,1
349,brick-ent-d,1,1
350,fencew-1,0,1
351,fencew-2,0,1
352,fencew-3,0,1
353,fencew-4,0,1
354,fencew-6,0,1
355,fencew-7,0,1
356,fencew-8,0,1
357,fencew-9,0,1
358,fencew-10,0,1
359,fencew-11,0,1
360,fencew-12,0,1
361,fencew-13,0,1
362,fencew-14,0,1
363,fencew-15,0,1
364,fencew-16,0,1
365,railway_h,1,1
366,railway_v,1,1
367,railway_lt,1,1
368,railway_rt,1,1
369,railway_lb,1,1
370,railway_rb,1,1
371,num7,0,1
372,num8,0,1
373,num-,0,1
374,num4,0,1
375,plant0,0,1
376,plant1,0,1
377,plant2,0,1
378,map04-445,0,1
379,map04-446,0,1
380,map04-475,0,1
381,map04-476,0,1
382,avocado,1,1
383,statue_f-0,1,1
384,statue_f-1,0,1
385,stairs-0,1,1
386,stairs-1,1,1
387,stairs-2,1,1
388,stairs-3,1,1
389,floor-0,1,0
390,floor-1,1,0
391,floor-2,1,0
392,floor-3,1,0
393,floor-4,1,0
394,floor-5,1,0
395,floor-6,1,0
396,floor-7,1,0
397,floor-8,1,0
398,floor-9,1,0
399,floor-10,1,0
400,floor-11,1,0
401,floor-12,1,0
402,floor-13,1,0
403,floor-14,1,0
404,floor-15,1,0
405,floor-16,1,0
406,floor-17,1,0
407,floor-18,1,0
408,floor-19,1,0
409,floor-20,1,0
410,floor-21,1,0
411,floor-22,1,0
412,floor-23,1,0
413,floor-24,1,0
414,floor-25,1,0
415,floor-26,1,0
416,floor-27,1,0
417,floor-28,1,0
418,floor-29,1,0
419,wall1-0,0,0
420,wall1-1,0,0
421,wall1-2,0,0
422,wall1-3,0,0
423,wall1-4,0,0
424,wall1-5,0,0
425,wall2-0,0,0
426,wall2-1,0,0
427,wall2-2,0,0
428,wall2-3,0,0
429,wall2-4,0,0
430,wall2-5,0,0
431,statue_b-0,1,1
432,statue_b-1,0,1
433,book-0,1,0
434,book-1,1,0
435,book-2,1,0
436,book-3,1,0
437,book-4,1,0
438,book-5,1,0
439,book-6,1,0
440,book-7,1,0
441,foods-8,1,0
442,foods-9,1,0
443,foods-10,1,0
444,foods-11,1,0
445,foods-12,1,0
446,foods-13,1,0
447,foods-14,1,0
448,foods-15,1,0
449,foods-16,1,0
450,foods-17,1,0
451,foods-18,1,0
452,foods-19,1,0
453,foods-20,1,0
454,foods-21,1,0
455,foods-22,1,0
456,foods-23,1,0
457,foods-24,1,0
458,foods-25,1,0
459,foods-26,1,0
460,foods-27,1,0
461,foods-28,1,0
462,foods-29,1,0
463,foods-30,1,0
464,foods-31,1,0
465,foods-32,1,0
466,foods-33,1,0
467,foods-34,1,0
468,foods-35,1,0
469,foods-36,1,0
470,foods-37,1,0
471,foods-38,1,0
472,foods-39,1,0
473,foods-40,1,0
474,foods-41,1,0
475,foods-42,1,0
476,foods-43,1,0
477,foods-44,1,0
478,foods-45,1,0
479,foods-46,1,0
480,foods-47,1,0
481,foods-48,1,0
482,foods-49,1,0
483,foods-50,1,0
484,foods-51,1,0
485,foods-52,1,0
486,foods-53,1,0
487,foods-54,1,0
488,foods-55,1,0
489,pipo_wallup-0,0,1
490,pipo_wallup-1,0,1
491,pipo_wallup-2,0,1
492,pipo_wallup-3,0,1
493,pipo_wallup-4,0,1
494,pipo_wallup-5,0,1
495,pipo_wallup-6,0,1
496,pipo_wallup-7,0,1
497,pipo_wallup-8,0,1
498,pipo_wallup-9,0,1
499,pipo_wallup-10,0,1
500,pipo_wallup-11,0,1
501,pipo_wallup-12,0,1
502,pipo_wallup-13,0,1
503,pipo_wallup-14,0,1
504,pipo_wallup-15,0,1
505,pipo_wallup-16,0,1
506,pipo_wallup-17,0,1
507,pipo_wallup-18,0,1
508,pipo_wallup-19,0,1
509,pipo_wallup-20,0,1
510,pipo_wallup-21,0,1
511,pipo_wallup-22,0,1
512,pipo_wallup-23,0,1
513,pipo_wallup-24,0,1
514,pipo_wallup-25,0,1
515,pipo_wallup-26,0,1
516,pipo_wallup-27,0,1
517,pipo_wallup-28,0,1
518,pipo_wallup-29,0,1
519,pipo_wallup-30,0,1
520,pipo_wallup-31,0,1
521,pipo_wallup-32,0,1
522,pipo_wallup-33,0,1
523,pipo_wallup-34,0,1
524,pipo_wallup-35,0,1
525,pipo_wallup-36,0,1
526,pipo_wallup-37,0,1
527,pipo_wallup-38,0,1
528,pipo_wallup-39,0,1
529,pipo_wallup-40,0,1
530,pipo_wallup-41,0,1
531,pipo_wallup-42,0,1
532,pipo_wallup-43,0,1
533,pipo_wallup-44,0,1
534,pipo_wallup-45,0,1
535,pipo_wallup-46,0,1
536,pipo_shelf-0,0,1
537,pipo_shelf-1,0,1
538,pipo_bookshelf-0,0,1
539,pipo_bookshelf-1,0,1
540,pipo_furniture-16,0,1
541,pipo_furniture-17,0,1
542,pipo_furniture-18,0,1
543,pipo_furniture-19,0,1
544,pipo_furniture-20,0,1
545,pipo_furniture-21,0,1
546,pipo_furniture-22,0,1
547,pipo_furniture-23,0,1
548,pipo_furniture-24,0,1
549,pipo_furniture-25,0,1
550,pipo_furniture-26,0,1
551,pipo_furniture-27,0,1
552,pipo_furniture-28,0,1
553,pipo_furniture-29,0,1
554,pipo_furniture-30,0,1
555,pipo_furniture-31,0,1
556,pipo_furniture-32,0,1
557,pipo_furniture-33,0,1
558,pipo_furniture-34,0,1
559,pipo_furniture-35,0,1
560,pipo_furniture-36,0,1
561,pipo_furniture-37,0,1
562,pipo_furniture-38,0,1
563,pipo_furniture-39,0,1
564,pipo_furniture-40,0,1
565,pipo_furniture-41,0,1
566,pipo_furniture-42,0,1
567,pipo_furniture-43,0,1
568,pipo_furniture-44,0,1
569,pipo_furniture-45,0,1
570,pipo_furniture-46,0,1
571,pipo_furniture-47,0,1
572,pipo_furniture-48,0,1
573,pipo_furniture-49,0,1
574,pipo_furniture-50,0,1
575,pipo_furniture-51,0,1
576,pipo_furniture-52,0,1
577,pipo_furniture-53,0,1
578,pipo_furniture-54,0,1
579,pipo_furniture-55,0,1
580,pipo_furniture-56,0,1
581,pipo_furniture-57,0,1
582,pipo_furniture-58,0,1
583,pipo_furniture-59,0,1
584,pipo_furniture-60,0,1
585,pipo_table-0,0,0
586,pipo_table-1,0,0
587,pipo_table-2,0,0
588,pipo_table-3,0,0
589,pipo_table-4,0,0
590,pipo_table-5,0,0
591,pipo_table-6,0,0
592,pipo_table-7,0,0
593,pipo_table-8,0,0
594,printer,0,0
595,pipo_furniture-80,0,0
596,pipo_furniture-81,0,0
597,pipo_furniture-82,0,0
598,pipo_furniture-83,0,0
599,pipo_furniture-84,0,0
600,pipo_furniture-85,0,0
601,pipo_furniture-86,0,0
602,pipo_furniture-87,0,0
603,pipo_furniture-88,0,0
604,pipo_furniture-89,0,0
605,pipo_furniture-90,0,0
606,pipo_furniture-91,0,0
607,pipo_furniture-92,0,0
608,pipo_furniture-93,0,0
609,pipo_furniture-94,0,0
610,pipo_furniture-95,0,0
611,pipo_furniture-96,0,0
612,pipo_furniture-97,0,0
613,pipo_furniture-98,0,0
614,pipo_furniture-99,0,0
615,pipo_furniture-100,0,0
616,pipo_furniture-101,0,0
617,pipo_furniture-102,0,0
618,pipo_furniture-103,0,0
619,pipo_furniture-104,0,0
620,pipo_furniture-105,0,0
621,pipo_furniture-106,0,0
622,pipo_furniture-107,0,0
623,pipo_furniture-108,0,0
624,pipo_furniture-112,0,1
625,pipo_furniture-113,0,1
626,pipo_furniture-114,0,1
627,pipo_furniture-115,0,1
628,pipo_furniture-116,0,1
629,monitor50-0,0,1
630,monitor50-1,0,1
631,monitor50-2,0,1
632,monitor50-3,0,1
633,monitor40-0,0,1
634,monitor40-1,0,1
635,monitor40-2,0,1
636,monitor40-3,0,1
637,doors-0,1,1
638,doors-1,1,1
639,doors-2,1,1
640,doors-3,1,1
641,doors-4,1,1
642,doors-5,1,1
643,doors-6,0,1
644,doors-7,0,1
645,doors-8,0,1
646,doors-9,0,1
647,mac_imac,0,0
648,mac_macbook_air_m2,0,0
649,mac_mini_2020,0,0
650,mac_power_mac_g5,0,0
651,mac_powerbook_180,0,0
652,mac_powerbook_duo_270,0,0
653,mac_pro_late_2013,0,0
654,mac_macbook_pro_16,0,0
655,mac_macbook_white_unibody,0,0
656,printer,0,0
657,monitor40v-0,0,1
658,monitor40v-1,0,1
659,lboard-0,0,1
660,lboard-1,0,1
661,lboard-2,0,1
662,lboard-3,0,1
663,fountain-0,0,1
664,fountain-1,0,1
665,fountain-2,0,1
666,fountain-3,0,1
667,fountain-4,1,1
668,fountain-5,0,1
669,fountain-6,0,1
670,fountain-7,0,1
671,fountain-8,0,1
672,iphone_14_pro,1,0
673,mac_macintosh_se,0,0
674,mac_macintosh_classic,0,0
675,mac_power_mac_9500,0,0
676,mac_power_mac_g4_cube,0,0
677,mac_macbook_pro_13late2016,0,0
678,doors-10,1,1
679,doors-6,1,1
680,doors-7,1,1
681,doors-8,1,1
682,doors-9,1,1
683,monitor17,0,1
684,monitor-aqua,0,1
685,mac-led-cinema-display-24,0,0
686,mac-led-cinema-display-27,0,0
687,dark75,1,0
688,dark50,1,0
689,door-open,1,1
690,panel-flat,0,0
691,panel-flat-l,0,0
692,panel-flat-c,0,0
693,panel-flat-r,0,0
694,map02-376,0,1
